cycle,name,current-object,current-action,time-left,sleep,hunger,social,hygene,culinary,outdoor,sport,knowlegable
105,Luna Cromwell,bed,sleep,7,0,0,-100,90,-75,-100,0,0
106,Luna Cromwell,bathroom,wash-hands,1,-5,0,-100,100,-80,-100,0,0
107,Luna Cromwell,bathroom,wash-hands,0,-10,0,-100,100,-85,-100,0,0
108,Luna Cromwell,bathroom,wash-hands,-1,-15,0,-100,100,-90,-100,0,0
109,Luna Cromwell,restaurant,eat,3,-20,0,-90,95,-45,-100,0,0
110,Luna Cromwell,bathroom,wash-hands,1,-25,0,-95,100,-50,-100,0,0
111,Luna Cromwell,bathroom,wash-hands,0,-30,0,-100,100,-55,-100,0,0
112,Luna Cromwell,bathroom,wash-hands,-1,-35,0,-100,100,-60,-100,0,0
113,Luna Cromwell,bathroom,wash-hands,-2,-40,0,-100,100,-65,-100,0,0
114,Luna Cromwell,bathroom,wash-hands,-3,-45,0,-100,100,-70,-100,0,0
115,Luna Cromwell,bathroom,wash-hands,-4,-50,0,-100,100,-75,-100,0,0
116,Luna Cromwell,restaurant,eat,3,-55,0,-90,95,-30,-100,0,0
117,Luna Cromwell,bathroom,wash-hands,1,-60,0,-95,100,-35,-100,0,0
118,Luna Cromwell,bathroom,wash-hands,0,-65,0,-100,100,-40,-100,0,0
119,Luna Cromwell,bathroom,wash-hands,-1,-70,0,-100,100,-45,-100,0,0
120,Luna Cromwell,bathroom,wash-hands,-2,-75,0,-100,100,-50,-100,0,0
121,Luna Cromwell,bed,sleep,8,-40,0,-100,95,-55,-100,0,0
122,Luna Cromwell,bed,sleep,7,-5,0,-100,90,-60,-100,0,0
123,Luna Cromwell,bathroom,wash-hands,1,-10,0,-100,100,-65,-100,0,0
124,Luna Cromwell,bathroom,wash-hands,0,-15,0,-100,100,-70,-100,0,0
125,Luna Cromwell,bathroom,wash-hands,-1,-20,0,-100,100,-75,-100,0,0
126,Luna Cromwell,bathroom,wash-hands,-2,-25,0,-100,100,-80,-100,0,0
127,Luna Cromwell,bathroom,wash-hands,-3,-30,0,-100,100,-85,-100,0,0
128,Luna Cromwell,restaurant,eat,3,-35,0,-90,95,-40,-100,0,0
129,Luna Cromwell,bathroom,wash-hands,1,-40,0,-95,100,-45,-100,0,0
130,Luna Cromwell,bathroom,wash-hands,0,-45,0,-100,100,-50,-100,0,0
131,Luna Cromwell,bathroom,wash-hands,-1,-50,0,-100,100,-55,-100,0,0
132,Luna Cromwell,bathroom,wash-hands,-2,-55,0,-100,100,-60,-100,0,0
133,Luna Cromwell,bathroom,wash-hands,-3,-60,0,-100,100,-65,-100,0,0
134,Luna Cromwell,bathroom,wash-hands,-4,-65,0,-100,100,-70,-100,0,0
135,Luna Cromwell,bed,sleep,8,-30,0,-100,95,-75,-100,0,0
136,Luna Cromwell,bathroom,wash-hands,1,-35,0,-100,100,-80,-100,0,0
137,Luna Cromwell,bathroom,wash-hands,0,-40,0,-100,100,-85,-100,0,0
138,Luna Cromwell,bathroom,wash-hands,-1,-45,0,-100,100,-90,-100,0,0
139,Luna Cromwell,restaurant,eat,3,-50,0,-90,95,-45,-100,0,0
140,Luna Cromwell,bathroom,wash-hands,1,-55,0,-95,100,-50,-100,0,0
141,Luna Cromwell,bathroom,wash-hands,0,-60,0,-100,100,-55,-100,0,0
142,Luna Cromwell,bathroom,wash-hands,-1,-65,0,-100,100,-60,-100,0,0
143,Luna Cromwell,bathroom,wash-hands,-2,-70,0,-100,100,-65,-100,0,0
144,Luna Cromwell,bed,sleep,8,-35,0,-100,95,-70,-100,0,0
145,Luna Cromwell,bed,sleep,7,0,0,-100,90,-75,-100,0,0
146,Luna Cromwell,bathroom,wash-hands,1,-5,0,-100,100,-80,-100,0,0
147,Luna Cromwell,bathroom,wash-hands,0,-10,0,-100,100,-85,-100,0,0
148,Luna Cromwell,bathroom,wash-hands,-1,-15,0,-100,100,-90,-100,0,0
149,Luna Cromwell,restaurant,eat,3,-20,0,-90,95,-45,-100,0,0
150,Luna Cromwell,bathroom,wash-hands,1,-25,0,-95,100,-50,-100,0,0
151,Luna Cromwell,bathroom,wash-hands,0,-30,0,-100,100,-55,-100,0,0
152,Luna Cromwell,bathroom,wash-hands,-1,-35,0,-100,100,-60,-100,0,0
153,Luna Cromwell,bathroom,wash-hands,-2,-40,0,-100,100,-65,-100,0,0
154,Luna Cromwell,bathroom,wash-hands,-3,-45,0,-100,100,-70,-100,0,0
155,Luna Cromwell,bathroom,wash-hands,-4,-50,0,-100,100,-75,-100,0,0
156,Luna Cromwell,restaurant,eat,3,-55,0,-90,95,-30,-100,0,0
157,Luna Cromwell,bathroom,wash-hands,1,-60,0,-95,100,-35,-100,0,0
158,Luna Cromwell,bathroom,wash-hands,0,-65,0,-100,100,-40,-100,0,0
159,Luna Cromwell,bathroom,wash-hands,-1,-70,0,-100,100,-45,-100,0,0
160,Luna Cromwell,bathroom,wash-hands,-2,-75,0,-100,100,-50,-100,0,0
161,Luna Cromwell,bed,sleep,8,-40,0,-100,95,-55,-100,0,0
162,Luna Cromwell,bed,sleep,7,-5,0,-100,90,-60,-100,0,0
163,Luna Cromwell,bathroom,wash-hands,1,-10,0,-100,100,-65,-100,0,0
164,Luna Cromwell,bathroom,wash-hands,0,-15,0,-100,100,-70,-100,0,0
165,Luna Cromwell,bathroom,wash-hands,-1,-20,0,-100,100,-75,-100,0,0
166,Luna Cromwell,bathroom,wash-hands,-2,-25,0,-100,100,-80,-100,0,0
167,Luna Cromwell,bathroom,wash-hands,-3,-30,0,-100,100,-85,-100,0,0
168,Luna Cromwell,restaurant,eat,3,-35,0,-90,95,-40,-100,0,0
169,Luna Cromwell,bathroom,wash-hands,1,-40,0,-95,100,-45,-100,0,0
170,Luna Cromwell,bathroom,wash-hands,0,-45,0,-100,100,-50,-100,0,0
171,Luna Cromwell,bathroom,wash-hands,-1,-50,0,-100,100,-55,-100,0,0
172,Luna Cromwell,bathroom,wash-hands,-2,-55,0,-100,100,-60,-100,0,0
173,Luna Cromwell,bathroom,wash-hands,-3,-60,0,-100,100,-65,-100,0,0
174,Luna Cromwell,bathroom,wash-hands,-4,-65,0,-100,100,-70,-100,0,0
175,Luna Cromwell,bed,sleep,8,-30,0,-100,95,-75,-100,0,0
176,Luna Cromwell,bathroom,wash-hands,1,-35,0,-100,100,-80,-100,0,0
177,Luna Cromwell,bathroom,wash-hands,0,-40,0,-100,100,-85,-100,0,0
178,Luna Cromwell,bathroom,wash-hands,-1,-45,0,-100,100,-90,-100,0,0
179,Luna Cromwell,restaurant,eat,3,-50,0,-90,95,-45,-100,0,0
180,Luna Cromwell,bathroom,wash-hands,1,-55,0,-95,100,-50,-100,0,0
181,Luna Cromwell,bathroom,wash-hands,0,-60,0,-100,100,-55,-100,0,0
182,Luna Cromwell,bathroom,wash-hands,-1,-65,0,-100,100,-60,-100,0,0
183,Luna Cromwell,bathroom,wash-hands,-2,-70,0,-100,100,-65,-100,0,0
184,Luna Cromwell,bed,sleep,8,-35,0,-100,95,-70,-100,0,0
185,Luna Cromwell,bed,sleep,7,0,0,-100,90,-75,-100,0,0
186,Luna Cromwell,bathroom,wash-hands,1,-5,0,-100,100,-80,-100,0,0
187,Luna Cromwell,bathroom,wash-hands,0,-10,0,-100,100,-85,-100,0,0
188,Luna Cromwell,bathroom,wash-hands,-1,-15,0,-100,100,-90,-100,0,0
189,Luna Cromwell,restaurant,eat,3,-20,0,-90,95,-45,-100,0,0
190,Luna Cromwell,bathroom,wash-hands,1,-25,0,-95,100,-50,-100,0,0
191,Luna Cromwell,bathroom,wash-hands,0,-30,0,-100,100,-55,-100,0,0
192,Luna Cromwell,bathroom,wash-hands,-1,-35,0,-100,100,-60,-100,0,0
193,Luna Cromwell,bathroom,wash-hands,-2,-40,0,-100,100,-65,-100,0,0
194,Luna Cromwell,bathroom,wash-hands,-3,-45,0,-100,100,-70,-100,0,0
195,Luna Cromwell,bathroom,wash-hands,-4,-50,0,-100,100,-75,-100,0,0
196,Luna Cromwell,restaurant,eat,3,-55,0,-90,95,-30,-100,0,0
197,Luna Cromwell,bathroom,wash-hands,1,-60,0,-95,100,-35,-100,0,0
198,Luna Cromwell,bathroom,wash-hands,0,-65,0,-100,100,-40,-100,0,0
199,Luna Cromwell,bathroom,wash-hands,-1,-70,0,-100,100,-45,-100,0,0
200,Luna Cromwell,bathroom,wash-hands,-2,-75,0,-100,100,-50,-100,0,0
201,Luna Cromwell,bed,sleep,8,-40,0,-100,95,-55,-100,0,0
202,Luna Cromwell,bed,sleep,7,-5,0,-100,90,-60,-100,0,0
203,Luna Cromwell,bathroom,wash-hands,1,-10,0,-100,100,-65,-100,0,0
204,Luna Cromwell,bathroom,wash-hands,0,-15,0,-100,100,-70,-100,0,0
205,Luna Cromwell,bathroom,wash-hands,-1,-20,0,-100,100,-75,-100,0,0
206,Luna Cromwell,bathroom,wash-hands,-2,-25,0,-100,100,-80,-100,0,0
207,Luna Cromwell,bathroom,wash-hands,-3,-30,0,-100,100,-85,-100,0,0
208,Luna Cromwell,restaurant,eat,3,-35,0,-90,95,-40,-100,0,0
209,Luna Cromwell,bathroom,wash-hands,1,-40,0,-95,100,-45,-100,0,0
210,Luna Cromwell,bathroom,wash-hands,0,-45,0,-100,100,-50,-100,0,0
211,Luna Cromwell,bathroom,wash-hands,-1,-50,0,-100,100,-55,-100,0,0
212,Luna Cromwell,bathroom,wash-hands,-2,-55,0,-100,100,-60,-100,0,0
213,Luna Cromwell,bathroom,wash-hands,-3,-60,0,-100,100,-65,-100,0,0
214,Luna Cromwell,bathroom,wash-hands,-4,-65,0,-100,100,-70,-100,0,0
215,Luna Cromwell,bed,sleep,8,-30,0,-100,95,-75,-100,0,0
216,Luna Cromwell,bathroom,wash-hands,1,-35,0,-100,100,-80,-100,0,0
217,Luna Cromwell,bathroom,wash-hands,0,-40,0,-100,100,-85,-100,0,0
218,Luna Cromwell,bathroom,wash-hands,-1,-45,0,-100,100,-90,-100,0,0
219,Luna Cromwell,restaurant,eat,3,-50,0,-90,95,-45,-100,0,0
220,Luna Cromwell,bathroom,wash-hands,1,-55,0,-95,100,-50,-100,0,0
221,Luna Cromwell,bathroom,wash-hands,0,-60,0,-100,100,-55,-100,0,0
222,Luna Cromwell,bathroom,wash-hands,-1,-65,0,-100,100,-60,-100,0,0
223,Luna Cromwell,bathroom,wash-hands,-2,-70,0,-100,100,-65,-100,0,0
224,Luna Cromwell,bed,sleep,8,-35,0,-100,95,-70,-100,0,0
225,Luna Cromwell,bed,sleep,7,0,0,-100,90,-75,-100,0,0
226,Luna Cromwell,bathroom,wash-hands,1,-5,0,-100,100,-80,-100,0,0
227,Luna Cromwell,bathroom,wash-hands,0,-10,0,-100,100,-85,-100,0,0
228,Luna Cromwell,bathroom,wash-hands,-1,-15,0,-100,100,-90,-100,0,0
229,Luna Cromwell,restaurant,eat,3,-20,0,-90,95,-45,-100,0,0
230,Luna Cromwell,bathroom,wash-hands,1,-25,0,-95,100,-50,-100,0,0
231,Luna Cromwell,bathroom,wash-hands,0,-30,0,-100,100,-55,-100,0,0
232,Luna Cromwell,bathroom,wash-hands,-1,-35,0,-100,100,-60,-100,0,0
233,Luna Cromwell,bathroom,wash-hands,-2,-40,0,-100,100,-65,-100,0,0
234,Luna Cromwell,bathroom,wash-hands,-3,-45,0,-100,100,-70,-100,0,0
235,Luna Cromwell,bathroom,wash-hands,-4,-50,0,-100,100,-75,-100,0,0
236,Luna Cromwell,restaurant,eat,3,-55,0,-90,95,-30,-100,0,0
237,Luna Cromwell,bathroom,wash-hands,1,-60,0,-95,100,-35,-100,0,0
238,Luna Cromwell,bathroom,wash-hands,0,-65,0,-100,100,-40,-100,0,0
239,Luna Cromwell,bathroom,wash-hands,-1,-70,0,-100,100,-45,-100,0,0
240,Luna Cromwell,bathroom,wash-hands,-2,-75,0,-100,100,-50,-100,0,0
241,Luna Cromwell,bed,sleep,8,-40,0,-100,95,-55,-100,0,0
242,Luna Cromwell,bed,sleep,7,-5,0,-100,90,-60,-100,0,0
243,Luna Cromwell,bathroom,wash-hands,1,-10,0,-100,100,-65,-100,0,0
244,Luna Cromwell,bathroom,wash-hands,0,-15,0,-100,100,-70,-100,0,0
245,Luna Cromwell,bathroom,wash-hands,-1,-20,0,-100,100,-75,-100,0,0
246,Luna Cromwell,bathroom,wash-hands,-2,-25,0,-100,100,-80,-100,0,0
247,Luna Cromwell,bathroom,wash-hands,-3,-30,0,-100,100,-85,-100,0,0
248,Luna Cromwell,restaurant,eat,3,-35,0,-90,95,-40,-100,0,0
249,Luna Cromwell,bathroom,wash-hands,1,-40,0,-95,100,-45,-100,0,0
250,Luna Cromwell,bathroom,wash-hands,0,-45,0,-100,100,-50,-100,0,0
251,Luna Cromwell,bathroom,wash-hands,-1,-50,0,-100,100,-55,-100,0,0
252,Luna Cromwell,bathroom,wash-hands,-2,-55,0,-100,100,-60,-100,0,0
253,Luna Cromwell,bathroom,wash-hands,-3,-60,0,-100,100,-65,-100,0,0
254,Luna Cromwell,bathroom,wash-hands,-4,-65,0,-100,100,-70,-100,0,0
255,Luna Cromwell,bed,sleep,8,-30,0,-100,95,-75,-100,0,0
256,Luna Cromwell,bathroom,wash-hands,1,-35,0,-100,100,-80,-100,0,0
257,Luna Cromwell,bathroom,wash-hands,0,-40,0,-100,100,-85,-100,0,0
258,Luna Cromwell,bathroom,wash-hands,-1,-45,0,-100,100,-90,-100,0,0
259,Luna Cromwell,restaurant,eat,3,-50,0,-90,95,-45,-100,0,0
260,Luna Cromwell,bathroom,wash-hands,1,-55,0,-95,100,-50,-100,0,0
261,Luna Cromwell,bathroom,wash-hands,0,-60,0,-100,100,-55,-100,0,0
262,Luna Cromwell,bathroom,wash-hands,-1,-65,0,-100,100,-60,-100,0,0
263,Luna Cromwell,bathroom,wash-hands,-2,-70,0,-100,100,-65,-100,0,0
264,Luna Cromwell,bed,sleep,8,-35,0,-100,95,-70,-100,0,0
265,Luna Cromwell,bed,sleep,7,0,0,-100,90,-75,-100,0,0
266,Luna Cromwell,bathroom,wash-hands,1,-5,0,-100,100,-80,-100,0,0
267,Luna Cromwell,bathroom,wash-hands,0,-10,0,-100,100,-85,-100,0,0
268,Luna Cromwell,bathroom,wash-hands,-1,-15,0,-100,100,-90,-100,0,0
269,Luna Cromwell,restaurant,eat,3,-20,0,-90,95,-45,-100,0,0
270,Luna Cromwell,bathroom,wash-hands,1,-25,0,-95,100,-50,-100,0,0
271,Luna Cromwell,bathroom,wash-hands,0,-30,0,-100,100,-55,-100,0,0
272,Luna Cromwell,bathroom,wash-hands,-1,-35,0,-100,100,-60,-100,0,0
273,Luna Cromwell,bathroom,wash-hands,-2,-40,0,-100,100,-65,-100,0,0
274,Luna Cromwell,bathroom,wash-hands,-3,-45,0,-100,100,-70,-100,0,0
275,Luna Cromwell,bathroom,wash-hands,-4,-50,0,-100,100,-75,-100,0,0
276,Luna Cromwell,restaurant,eat,3,-55,0,-90,95,-30,-100,0,0
277,Luna Cromwell,bathroom,wash-hands,1,-60,0,-95,100,-35,-100,0,0
278,Luna Cromwell,bathroom,wash-hands,0,-65,0,-100,100,-40,-100,0,0
279,Luna Cromwell,bathroom,wash-hands,-1,-70,0,-100,100,-45,-100,0,0
280,Luna Cromwell,bathroom,wash-hands,-2,-75,0,-100,100,-50,-100,0,0
281,Luna Cromwell,bed,sleep,8,-40,0,-100,95,-55,-100,0,0
282,Luna Cromwell,bed,sleep,7,-5,0,-100,90,-60,-100,0,0
283,Luna Cromwell,bathroom,wash-hands,1,-10,0,-100,100,-65,-100,0,0
284,Luna Cromwell,bathroom,wash-hands,0,-15,0,-100,100,-70,-100,0,0
285,Luna Cromwell,bathroom,wash-hands,-1,-20,0,-100,100,-75,-100,0,0
286,Luna Cromwell,bathroom,wash-hands,-2,-25,0,-100,100,-80,-100,0,0
287,Luna Cromwell,bathroom,wash-hands,-3,-30,0,-100,100,-85,-100,0,0
288,Luna Cromwell,restaurant,eat,3,-35,0,-90,95,-40,-100,0,0
289,Luna Cromwell,bathroom,wash-hands,1,-40,0,-95,100,-45,-100,0,0
290,Luna Cromwell,bathroom,wash-hands,0,-45,0,-100,100,-50,-100,0,0
291,Luna Cromwell,bathroom,wash-hands,-1,-50,0,-100,100,-55,-100,0,0
292,Luna Cromwell,bathroom,wash-hands,-2,-55,0,-100,100,-60,-100,0,0
293,Luna Cromwell,bathroom,wash-hands,-3,-60,0,-100,100,-65,-100,0,0
294,Luna Cromwell,bathroom,wash-hands,-4,-65,0,-100,100,-70,-100,0,0
295,Luna Cromwell,bed,sleep,8,-30,0,-100,95,-75,-100,0,0
296,Luna Cromwell,bathroom,wash-hands,1,-35,0,-100,100,-80,-100,0,0
297,Luna Cromwell,bathroom,wash-hands,0,-40,0,-100,100,-85,-100,0,0
298,Luna Cromwell,bathroom,wash-hands,-1,-45,0,-100,100,-90,-100,0,0
299,Luna Cromwell,restaurant,eat,3,-50,0,-90,95,-45,-100,0,0
300,Luna Cromwell,bathroom,wash-hands,1,-55,0,-95,100,-50,-100,0,0
301,Luna Cromwell,bathroom,wash-hands,0,-60,0,-100,100,-55,-100,0,0
302,Luna Cromwell,bathroom,wash-hands,-1,-65,0,-100,100,-60,-100,0,0
303,Luna Cromwell,bathroom,wash-hands,-2,-70,0,-100,100,-65,-100,0,0
304,Luna Cromwell,bed,sleep,8,-35,0,-100,95,-70,-100,0,0
305,Luna Cromwell,bed,sleep,7,0,0,-100,90,-75,-100,0,0
306,Luna Cromwell,bathroom,wash-hands,1,-5,0,-100,100,-80,-100,0,0
307,Luna Cromwell,bathroom,wash-hands,0,-10,0,-100,100,-85,-100,0,0
308,Luna Cromwell,bathroom,wash-hands,-1,-15,0,-100,100,-90,-100,0,0
309,Luna Cromwell,restaurant,eat,3,-20,0,-90,95,-45,-100,0,0
310,Luna Cromwell,bathroom,wash-hands,1,-25,0,-95,100,-50,-100,0,0
311,Luna Cromwell,bathroom,wash-hands,0,-30,0,-100,100,-55,-100,0,0
312,Luna Cromwell,bathroom,wash-hands,-1,-35,0,-100,100,-60,-100,0,0
313,Luna Cromwell,bathroom,wash-hands,-2,-40,0,-100,100,-65,-100,0,0
314,Luna Cromwell,bathroom,wash-hands,-3,-45,0,-100,100,-70,-100,0,0
315,Luna Cromwell,bathroom,wash-hands,-4,-50,0,-100,100,-75,-100,0,0
316,Luna Cromwell,restaurant,eat,3,-55,0,-90,95,-30,-100,0,0
317,Luna Cromwell,bathroom,wash-hands,1,-60,0,-95,100,-35,-100,0,0
318,Luna Cromwell,bathroom,wash-hands,0,-65,0,-100,100,-40,-100,0,0
319,Luna Cromwell,bathroom,wash-hands,-1,-70,0,-100,100,-45,-100,0,0
320,Luna Cromwell,bathroom,wash-hands,-2,-75,0,-100,100,-50,-100,0,0
321,Luna Cromwell,bed,sleep,8,-40,0,-100,95,-55,-100,0,0
